timestamp,value,temperature,demand_factor,operational_efficiency,energy_price,hour,day_of_week,month,is_weekend
2022-01-01 00:00:00,1188.15,20.99,0.506,0.8424,81.83,0,5,1,1
2022-01-01 01:00:00,1211.43,21.8,0.5478,0.8637,83.15,1,5,1,1
2022-01-01 02:00:00,1165.22,25.32,0.4807,0.8237,78.85,2,5,1,1
2022-01-01 03:00:00,1221.48,28.74,0.6202,0.8268,93.94,3,5,1,1
2022-01-01 04:00:00,1186.6,26.5,0.4447,0.8438,85.12,4,5,1,1
2022-01-01 05:00:00,1209.24,27.31,0.6315,0.8223,92.08,5,5,1,1
2022-01-01 06:00:00,1291.61,31.22,0.5681,0.8116,85.52,6,5,1,1
2022-01-01 07:00:00,1289.52,29.34,0.632,0.8196,102.37,7,5,1,1
2022-01-01 08:00:00,1294.39,26.08,0.6114,0.8446,95.63,8,5,1,1
2022-01-01 09:00:00,1301.17,26.84,0.6218,0.862,83.59,9,5,1,1
2022-01-01 10:00:00,1306.52,23.18,0.6433,0.8623,85.87,10,5,1,1
2022-01-01 11:00:00,1346.72,21.26,0.667,0.881,77.92,11,5,1,1
2022-01-01 12:00:00,1293.24,20.61,0.6209,0.8512,78.74,12,5,1,1
2022-01-01 13:00:00,1317.51,14.24,0.6997,0.8538,80.09,13,5,1,1
2022-01-01 14:00:00,1319.59,12.7,0.6042,0.844,79.83,14,5,1,1
2022-01-01 15:00:00,1313.99,13.38,0.6683,0.8449,67.38,15,5,1,1
2022-01-01 16:00:00,1353.74,11.22,0.7204,0.8905,68.29,16,5,1,1
2022-01-01 17:00:00,1325.15,13.08,0.7381,0.854,75.78,17,5,1,1
2022-01-01 18:00:00,1339.84,10.38,0.7209,0.8557,77.39,18,5,1,1
2022-01-01 19:00:00,1303.79,9.65,0.6874,0.8258,67.29,19,5,1,1
2022-01-01 20:00:00,1343.61,16.22,0.7609,0.8568,76.98,20,5,1,1
2022-01-01 21:00:00,1340.88,14.12,0.6912,0.8617,67.65,21,5,1,1
2022-01-01 22:00:00,1347.82,16.37,0.8207,0.8707,74.46,22,5,1,1
2022-01-01 23:00:00,1305.54,15.33,0.7369,0.861,72.68,23,5,1,1
2022-01-02 00:00:00,1234.74,19.17,0.6719,0.8458,79.0,0,6,1,1
2022-01-02 01:00:00,1250.54,22.56,0.6966,0.8449,93.21,1,6,1,1
2022-01-02 02:00:00,1271.17,21.98,0.7656,0.8468,85.84,2,6,1,1
2022-01-02 03:00:00,1254.3,26.7,0.7772,0.8503,86.82,3,6,1,1
2022-01-02 04:00:00,1323.66,26.03,0.875,0.8734,87.04,4,6,1,1
2022-01-02 05:00:00,1235.19,27.46,0.7307,0.8694,89.41,5,6,1,1
2022-01-02 06:00:00,1343.35,27.12,0.7902,0.863,87.25,6,6,1,1
2022-01-02 07:00:00,1330.12,31.77,0.7405,0.8884,91.68,7,6,1,1
2022-01-02 08:00:00,1323.64,27.25,0.7738,0.7947,89.87,8,6,1,1
2022-01-02 09:00:00,1395.04,23.9,0.8871,0.8385,86.2,9,6,1,1
2022-01-02 10:00:00,1344.65,26.01,0.7502,0.8474,83.73,10,6,1,1
2022-01-02 11:00:00,1374.0,20.01,0.8401,0.8341,85.01,11,6,1,1
2022-01-02 12:00:00,1359.45,20.81,0.8336,0.8289,77.9,12,6,1,1
2022-01-02 13:00:00,1377.82,14.41,0.8157,0.8131,77.8,13,6,1,1
2022-01-02 14:00:00,1342.51,13.75,0.8453,0.8411,74.38,14,6,1,1
2022-01-02 15:00:00,1379.94,15.16,0.7634,0.8652,63.57,15,6,1,1
2022-01-02 16:00:00,1398.92,14.98,0.9059,0.8627,77.36,16,6,1,1
2022-01-02 17:00:00,1399.29,13.06,0.9205,0.8321,62.94,17,6,1,1
2022-01-02 18:00:00,1357.44,12.22,0.8274,0.8515,62.96,18,6,1,1
2022-01-02 19:00:00,1419.62,12.13,0.9466,0.8742,76.66,19,6,1,1
2022-01-02 20:00:00,1376.6,10.59,0.8055,0.8165,67.69,20,6,1,1
2022-01-02 21:00:00,1358.13,13.39,0.845,0.8437,64.48,21,6,1,1
2022-01-02 22:00:00,1324.19,15.57,0.8957,0.8525,83.66,22,6,1,1
2022-01-02 23:00:00,1321.37,20.55,0.7999,0.8469,76.24,23,6,1,1
2022-01-03 00:00:00,1362.74,21.2,0.7521,0.8637,88.13,0,0,1,0
2022-01-03 01:00:00,1330.92,19.07,0.7384,0.8166,80.11,1,0,1,0
2022-01-03 02:00:00,1430.48,25.19,0.9196,0.8264,78.93,2,0,1,0
2022-01-03 03:00:00,1387.13,25.44,0.7871,0.8601,87.65,3,0,1,0
2022-01-03 04:00:00,1349.12,26.13,0.801,0.8123,84.85,4,0,1,0
2022-01-03 05:00:00,1365.75,29.52,0.751,0.8626,93.95,5,0,1,0
2022-01-03 06:00:00,1461.26,30.64,0.8499,0.8552,95.7,6,0,1,0
2022-01-03 07:00:00,1439.41,30.18,0.759,0.861,96.66,7,0,1,0
2022-01-03 08:00:00,1438.64,25.85,0.7686,0.8367,89.5,8,0,1,0
2022-01-03 09:00:00,1453.86,25.65,0.803,0.8562,96.41,9,0,1,0
2022-01-03 10:00:00,1424.15,25.29,0.7292,0.8225,82.85,10,0,1,0
2022-01-03 11:00:00,1462.24,24.66,0.7676,0.8376,85.79,11,0,1,0
2022-01-03 12:00:00,1462.28,19.69,0.8404,0.8466,81.88,12,0,1,0
2022-01-03 13:00:00,1440.83,18.21,0.7852,0.8278,89.89,13,0,1,0
2022-01-03 14:00:00,1441.55,14.45,0.7634,0.8501,83.69,14,0,1,0
2022-01-03 15:00:00,1456.34,12.63,0.7604,0.8227,75.79,15,0,1,0
2022-01-03 16:00:00,1431.98,15.39,0.7227,0.8509,75.07,16,0,1,0
2022-01-03 17:00:00,1481.12,15.68,0.8342,0.8803,80.8,17,0,1,0
2022-01-03 18:00:00,1425.65,12.57,0.6857,0.8203,69.07,18,0,1,0
2022-01-03 19:00:00,1450.95,15.0,0.7286,0.8449,63.04,19,0,1,0
2022-01-03 20:00:00,1442.72,14.53,0.7152,0.8129,69.41,20,0,1,0
2022-01-03 21:00:00,1448.53,13.79,0.7511,0.8285,73.81,21,0,1,0
2022-01-03 22:00:00,1412.7,17.48,0.7468,0.8592,84.8,22,0,1,0
2022-01-03 23:00:00,1370.74,21.77,0.6808,0.8365,85.63,23,0,1,0
2022-01-04 00:00:00,1354.54,20.7,0.6875,0.8598,82.86,0,1,1,0
2022-01-04 01:00:00,1340.72,25.98,0.6798,0.852,88.04,1,1,1,0
2022-01-04 02:00:00,1313.0,19.56,0.54,0.8436,84.62,2,1,1,0
2022-01-04 03:00:00,1296.36,28.11,0.5642,0.8242,100.72,3,1,1,0
2022-01-04 04:00:00,1267.1,27.92,0.6033,0.8584,97.97,4,1,1,0
2022-01-04 05:00:00,1303.46,27.96,0.5953,0.8507,93.21,5,1,1,0
2022-01-04 06:00:00,1386.79,29.02,0.5531,0.814,92.96,6,1,1,0
2022-01-04 07:00:00,1402.13,24.6,0.6402,0.8252,96.54,7,1,1,0
2022-01-04 08:00:00,1379.57,27.35,0.5923,0.7891,91.79,8,1,1,0
2022-01-04 09:00:00,1379.24,27.24,0.5709,0.8171,81.42,9,1,1,0
2022-01-04 10:00:00,1361.78,27.84,0.5083,0.838,96.16,10,1,1,0
2022-01-04 11:00:00,1381.18,21.93,0.5582,0.8231,91.97,11,1,1,0
2022-01-04 12:00:00,1336.18,19.29,0.4185,0.8275,85.44,12,1,1,0
2022-01-04 13:00:00,1368.27,17.84,0.531,0.8719,78.94,13,1,1,0
2022-01-04 14:00:00,1390.74,18.76,0.5317,0.8646,78.71,14,1,1,0
2022-01-04 15:00:00,1382.05,15.94,0.5301,0.8301,63.41,15,1,1,0
2022-01-04 16:00:00,1352.29,12.96,0.4292,0.8598,69.55,16,1,1,0
2022-01-04 17:00:00,1351.68,14.26,0.5082,0.8681,82.96,17,1,1,0
2022-01-04 18:00:00,1333.79,13.16,0.4345,0.8561,76.42,18,1,1,0
2022-01-04 19:00:00,1363.33,15.19,0.4356,0.8497,64.47,19,1,1,0
2022-01-04 20:00:00,1358.06,12.66,0.5019,0.8656,71.11,20,1,1,0
2022-01-04 21:00:00,1401.42,14.69,0.5567,0.8589,67.26,21,1,1,0
2022-01-04 22:00:00,1313.13,16.23,0.4486,0.8192,75.09,22,1,1,0
2022-01-04 23:00:00,1248.37,16.02,0.3954,0.8396,80.62,23,1,1,0
2022-01-05 00:00:00,1257.96,21.62,0.436,0.8323,92.09,0,2,1,0
2022-01-05 01:00:00,1269.58,23.64,0.4641,0.8663,90.63,1,2,1,0
2022-01-05 02:00:00,1234.9,25.06,0.439,0.8316,87.65,2,2,1,0
2022-01-05 03:00:00,1314.34,26.25,0.536,0.8281,90.01,3,2,1,0
2022-01-05 04:00:00,1267.96,25.17,0.3543,0.8636,88.9,4,2,1,0
2022-01-05 05:00:00,1249.88,27.97,0.3941,0.8482,99.4,5,2,1,0
2022-01-05 06:00:00,1366.39,28.41,0.4506,0.8852,100.37,6,2,1,0
2022-01-05 07:00:00,1356.06,27.23,0.4394,0.8256,87.34,7,2,1,0
2022-01-05 08:00:00,1307.42,27.72,0.2598,0.8324,84.47,8,2,1,0
2022-01-05 09:00:00,1322.16,27.59,0.3496,0.8651,89.93,9,2,1,0
2022-01-05 10:00:00,1325.63,28.91,0.4168,0.8171,88.51,10,2,1,0
2022-01-05 11:00:00,1386.23,23.57,0.4802,0.869,88.41,11,2,1,0
2022-01-05 12:00:00,1297.91,21.68,0.3643,0.8184,76.2,12,2,1,0
2022-01-05 13:00:00,1296.85,18.95,0.3045,0.8546,78.45,13,2,1,0
2022-01-05 14:00:00,1318.07,13.34,0.2665,0.8055,79.24,14,2,1,0
2022-01-05 15:00:00,1350.03,15.48,0.4223,0.8432,73.73,15,2,1,0
2022-01-05 16:00:00,1299.98,14.4,0.3426,0.8148,80.37,16,2,1,0
2022-01-05 17:00:00,1291.93,18.41,0.2589,0.8807,84.46,17,2,1,0
2022-01-05 18:00:00,1323.87,12.84,0.2866,0.8207,72.13,18,2,1,0
2022-01-05 19:00:00,1297.73,14.11,0.3082,0.8254,79.65,19,2,1,0
2022-01-05 20:00:00,1320.04,14.25,0.3161,0.8527,74.45,20,2,1,0
2022-01-05 21:00:00,1277.05,13.26,0.2406,0.8299,73.22,21,2,1,0
2022-01-05 22:00:00,1240.72,19.55,0.2519,0.8558,76.42,22,2,1,0
2022-01-05 23:00:00,1186.58,20.71,0.1975,0.8275,86.28,23,2,1,0
2022-01-06 00:00:00,1252.67,22.87,0.33,0.8259,81.85,0,3,1,0
2022-01-06 01:00:00,1210.12,21.55,0.2592,0.841,85.46,1,3,1,0
